trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
497,False,"{'a': 0.25, 'e': 0.0827017612130604}",30,10,32.67957663932413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.25, 'e': 0.07971167051465945}",25,12,0.020539288278274004,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
499,False,"{'a': 0.25, 'e': 0.07672086241176215}",25,17,18.493279234115718,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.25, 'e': 0.07372936382162078}",20,8,22.3777828557836,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.25, 'e': 0.0707372016677029}",25,9,10.229384384081124,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
502,False,"{'a': 0.25, 'e': 0.06774440287944729}",20,9,16.352504197051843,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.25, 'e': 0.06475099439202324}",30,17,24.0451245173441,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.25, 'e': 0.06175700314608652}",20,9,-17.891447575980834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
505,False,"{'a': 0.25, 'e': 0.058762456087538564}",30,20,20.635822594203713,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.25, 'e': 0.05576738016728224}",20,0,22.851450746518765,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
507,False,"{'a': 0.25, 'e': 0.05277180234098107}",20,11,18.37611378329676,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.25, 'e': 0.049775749568814816}",25,4,31.050219987546193,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.25, 'e': 0.04677924881523865}",20,12,14.495276568023696,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.25, 'e': 0.04378232704873868}",25,15,18.54963860741106,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.25, 'e': 0.040785011241591035}",20,8,24.282067320806153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.25, 'e': 0.03778732836961728}",20,11,8.774128002970766,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
513,False,"{'a': 0.25, 'e': 0.03478930541194349}",25,14,21.102299457559962,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.25, 'e': 0.03179096935075582}",25,18,16.089485619762687,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.25, 'e': 0.028792347171058365}",25,14,19.395129049275972,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.25, 'e': 0.025793465860430936}",30,19,16.0349220921938,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.25, 'e': 0.02279435240878465}",20,13,15.052860594965273,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.25, 'e': 0.019795033808120765}",20,11,16.743098205244195,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,False,"{'a': 0.25, 'e': 0.016795537052286005}",30,12,26.675184504766726,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
520,False,"{'a': 0.25, 'e': 0.013795889136731364}",30,8,34.492050359827765,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.25, 'e': 0.010796117058267392}",25,10,27.089308200118374,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.25, 'e': 0.007796247814822993}",25,16,17.847993431571048,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.25, 'e': 0.004796308405200662}",25,2,37.10272714816164,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.25, 'e': 0.0017963258288352822}",20,6,25.321202510277512,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.25, 'e': -0.0012036729144506543}",20,14,11.471817910727836,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,23.93904060195565,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,22.474252293635256,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,18,25.82176891088897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,13.377746258971126,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,22.405622652471415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,26.2020391101401,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,5,29.491987431376902,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,14.766313082885457,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,16,25.367236076561824,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,7,18.417070457248258,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,14,11.009759897696673,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,19,14.873011276553894,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,11,23.765152197517303,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,6,30.03822671872227,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,12,14.164521449122823,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,0,27.023158923696094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",30,20,16.79457205239042,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,12,14.806039708428697,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,20,9.536313424772121,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,13,12.549254307349466,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,8,19.2473687719422,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,11,27.15060750265613,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",30,20,20.84942785430005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,8,21.61245584766861,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,8,22.989987387077647,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",30,21,15.921174038283649,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,9,19.964360519250118,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,3,28.314293245649555,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,6,23.89448214737913,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,12,12.543933322533851,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",30,16,23.92762770759639,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",25,8,33.14351340308698,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",30,15,28.23808916489097,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",30,0,44.62810058602345,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0, 'e': 0}",35,19,30.772522658452694,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",20,5,26.028471675630268,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",20,10,20.32460237818564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",20,13,15.412729198698736,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",20,12,12.157954522338773,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",25,9,26.475420357909343,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",20,0,33.5297940414147,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,True,"{'a': 0, 'e': 0}",20,7,24.061620453251525,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",20,3,29.324254243640016,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",30,18,21.171891308104883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",25,6,34.59169500309383,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",20,12,14.976086391357695,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",30,11,28.482439038224705,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",20,5,28.00653689163711,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,13,13.505480095197958,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",25,17,15.042791822969036,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
